year,ynew,y,death,inj,magnitude,intensity,location,hour,min,time
2011,199.5011164,183.2219,0,21,5.8,7,新疆,18,6,18:06
2011,3.176936858,2.9177,0,0,5.5,6,新疆,23,27,23:27
2011,1452.144443,1333.65,7,136,6.8,7,印度,20,40,20:40
2011,12.90341373,11.8505,0,0,5,6,新疆,21,44,21:44
2011,738.740988,678.46,0,0,6,7,新疆,8,21,8:21
2011,52.90720839,48.59,0,0,5.2,6,新疆,20,48,20:48
2012,44.65809354,42.0811,0,0,5,6,新疆,14,20,14:20
2012,555.294232,523.251,0,0,6,6,新疆,6,50,6:50
2012,9.143739108,8.6161,0,0,5.4,7,甘肃,18,19,18:19
2012,48.25463163,45.4701,0,0,5.4,6,新疆,5,51,5:51
2012,818.7881375,771.54,4,442,5.7,7,云南,15,59,15:59
2012,2112.20575,1990.321,0,52,6.6,8,新疆,5,7,5:07
2012,16.3706688,15.426,1,3,4.9,6,江苏,20,11,20:11
2012,52.61642898,49.5802,0,0,6.2,7,新疆,18,47,18:47
2012,5063.212478,4771.04,81,834,5.7,8,云南,11,19,11:19
2012,6.751388616,6.3618,0,0,5.5,6,新疆,12,16,12:16
2012,67.79394707,63.8819,0,0,5.1,6,新疆,22,8,22:08
2013,125.1396433,120.99,0,0,5.4,7,四川,20,42,20:42
2013,85.35022201,82.52,0,0,6.1,6,哈萨克斯坦,0,38,0:38
2013,732.2825641,708,0,30,5.5,7,云南,13,41,13:41
2013,24.79210884,23.97,0,0,5.2,6,新疆,11,1,11:01
2013,8.181292488,7.91,0,0,5.6,6,新疆,13,1,13:01
2013,215.9406126,208.78,0,14,5,7,云南,9,45,9:45
2013,68794.94743,66513.7,196,13019,7,9,四川,8,2,8:02
2013,669.3972817,647.2,0,13,5.5,7,内蒙,17,11,17:11
2013,25253.40549,24416,95,2414,6.6,8,甘肃,7,45,7:45
2013,2799.987882,2707.14,0,87,6.1,8,西藏,5,23,5:23
2013,2034.15271,1966.7,3,63,5.9,8,云南,8,4,8:04
2013,2092.383654,2023,0,25,5.5,7,吉林,6,4,6:04
2013,36.27281006,35.07,0,0,5.3,6,新疆,16,34,16:34
2013,77.89293771,75.31,0,4,5.1,7,湖北,13,4,13:04
2014,1095.749757,1080.61,0,0,7.3,9,新疆,17,19,17:19
2014,451.3360202,445.1,0,32,5.3,6,云南,6,40,6:40
2014,1825.82709,1800.6,0,61,6.1,8,云南,9,20,9:20
2014,20127.09203,19849,617,3143,6.5,9,云南,6,7,6:07
2014,306.73814,302.5,0,20,5,6,云南,9,23,9:23
2014,152.101557,150,0,1,5,6,四川,21,49,21:49
2014,5181.795844,5110.2,1,331,6.6,8,云南,13,20,13:20
2014,220.4762769,217.43,0,0,4.2,6,浙江,16,55,16:55
2014,4291.058706,4231.77,5,78,6.3,8,四川,23,19,23:19
2014,2409.897069,2376.6,1,22,5.9,8,云南,18,20,18:20
2015,189.00003,189,0,20,5,5,新疆,14,50,14:50
2015,82.00001301,82,0,17,5,6,四川,13,21,13:21
2015,51.00000809,51,0,1,5,6,新疆,14,42,14:42
2015,837.0001328,837,0,50,5.5,7,云南,18,24,18:24
2015,75.37001196,75.37,2,13,4.3,6,安徽,6,14,6:14
2015,517.040082,517.04,0,1,5.5,7,贵州,9,47,9:47
2015,5.55000088,5.55,1,6,4.5,6,甘肃,7,8,7:08
2015,337.1400535,337.14,0,0,5.8,7,内蒙,15,39,15:39
2015,10302.00163,10302,27,860,8.1,9,西藏,14,11,14:11
2015,5430.000861,5430,3,260,6.5,8,新疆,9,7,9:07
2015,242.0000384,242,0,0,5.1,6,云南,19,26,19:26
